"","word","version_with_order","ambiguity_type","dominance_right","sd_dominance"
"1","act","M1_a_M2_a","Polysemy",-0.555555555555556,1.23603308118261
"2","act","M1_a_M2_b","Polysemy",0.222222222222222,1.71593835683117
"3","act","M1_b_M2_a","Polysemy",0.1875,1.55857841210081
"4","act","M1_b_M2_b","Polysemy",-0.615384615384615,1.55662356498831
"5","act","M2_a_M1_a","Polysemy",0.5,1.22474487139159
"6","act","M2_a_M1_b","Polysemy",0,1.52752523165195
"7","act","M2_b_M1_a","Polysemy",-0.125,1.24642345475822
"8","act","M2_b_M1_b","Polysemy",-0.25,1.5
"9","appeal","M1_a_M2_a","Polysemy",0,1.4142135623731
"10","appeal","M1_a_M2_b","Polysemy",-0.5,1.58113883008419
"11","appeal","M1_b_M2_a","Polysemy",-0.363636363636364,1.56669890360128
"12","appeal","M1_b_M2_b","Polysemy",0,1.54919333848297
"13","appeal","M2_a_M1_a","Polysemy",-0.666666666666667,1.52752523165195
"14","appeal","M2_a_M1_b","Polysemy",-0.428571428571429,1.50457178749844
"15","appeal","M2_b_M1_a","Polysemy",0.142857142857143,2.03540097839643
"16","appeal","M2_b_M1_b","Polysemy",-0.461538461538462,1.45002210416397
"17","atmosphere","M1_a_M2_a","Polysemy",-0.666666666666667,1.30267789455786
"18","atmosphere","M1_a_M2_b","Polysemy",0.25,1.38873014965883
"19","atmosphere","M1_b_M2_a","Polysemy",-0.75,1.35680105059994
"20","atmosphere","M1_b_M2_b","Polysemy",-0.666666666666667,1.36626010212795
"21","atmosphere","M2_a_M1_a","Polysemy",0.615384615384615,1.38675049056307
"22","atmosphere","M2_a_M1_b","Polysemy",0.538461538461538,1.50639661750509
"23","atmosphere","M2_b_M1_a","Polysemy",-1,1.4142135623731
"24","atmosphere","M2_b_M1_b","Polysemy",-1.14285714285714,1.4638501094228
"25","bail","M1_a_M2_a","Homonymy",-1.22222222222222,0.97182531580755
"26","bail","M1_a_M2_b","Homonymy",-1.23076923076923,1.48064435037847
"27","bail","M1_b_M2_a","Homonymy",-1.72727272727273,0.467099366496914
"28","bail","M1_b_M2_b","Homonymy",-1.77777777777778,0.440958551844098
"29","bail","M2_a_M1_a","Homonymy",1.5,0.547722557505166
"30","bail","M2_a_M1_b","Homonymy",1.22222222222222,1.56347191994114
"31","bail","M2_b_M1_a","Homonymy",1.07692307692308,1.44115338424578
"32","bail","M2_b_M1_b","Homonymy",1.5,1.0690449676497
"33","band","M1_a_M2_a","Homonymy",0.571428571428571,1.51185789203691
"34","band","M1_a_M2_b","Homonymy",0.166666666666667,1.46680440124618
"35","band","M1_b_M2_a","Homonymy",0.384615384615385,1.55662356498831
"36","band","M1_b_M2_b","Homonymy",-0.5,1.60356745147455
"37","band","M2_a_M1_a","Homonymy",-1,1.30930734141595
"38","band","M2_a_M1_b","Homonymy",-0.111111111111111,1.36422546197874
"39","band","M2_b_M1_a","Homonymy",-1.55555555555556,1.0137937550497
"40","band","M2_b_M1_b","Homonymy",0.5,1.56669890360128
"41","bank","M1_a_M2_a","Homonymy",0.6,1.42984070596848
"42","bank","M1_a_M2_b","Homonymy",1.36363636363636,0.924416277737175
"43","bank","M1_b_M2_a","Homonymy",1,1.4142135623731
"44","bank","M1_b_M2_b","Homonymy",-0.1,1.66332999331662
"45","bank","M2_a_M1_a","Homonymy",0.1,1.66332999331662
"46","bank","M2_a_M1_b","Homonymy",-1.42857142857143,0.534522483824849
"47","bank","M2_b_M1_a","Homonymy",-0.875,1.5526475085203
"48","bank","M2_b_M1_b","Homonymy",-0.866666666666667,1.24594580635795
"49","barrier","M1_a_M2_a","Polysemy",0.166666666666667,1.46680440124618
"50","barrier","M1_a_M2_b","Polysemy",-0.571428571428571,1.13389341902768
"51","barrier","M1_b_M2_a","Polysemy",0.0833333333333333,1.37895436890245
"52","barrier","M1_b_M2_b","Polysemy",-1.125,1.35620268186054
"53","barrier","M2_a_M1_a","Polysemy",0.333333333333333,1.58113883008419
"54","barrier","M2_a_M1_b","Polysemy",-0.3,1.41813649241218
"55","barrier","M2_b_M1_a","Polysemy",1,0.816496580927726
"56","barrier","M2_b_M1_b","Polysemy",0.9,1.3703203194063
"57","bat","M1_a_M2_a","Homonymy",0.538461538461538,1.50639661750509
"58","bat","M1_a_M2_b","Homonymy",1,0.925820099772551
"59","bat","M1_b_M2_a","Homonymy",0.888888888888889,1.45296631451356
"60","bat","M1_b_M2_b","Homonymy",0,1.63299316185545
"61","bat","M2_a_M1_a","Homonymy",-0.5,1.38169855941551
"62","bat","M2_a_M1_b","Homonymy",-1.2,0.421637021355784
"63","bat","M2_b_M1_a","Homonymy",-1.1,0.875595035770913
"64","bat","M2_b_M1_b","Homonymy",-1.44444444444444,0.52704627669473
"65","beam","M1_a_M2_a","Polysemy",-0.714285714285714,1.25356634105602
"66","beam","M1_a_M2_b","Polysemy",-0.875,1.24642345475822
"67","beam","M1_b_M2_a","Polysemy",-0.636363636363636,1.12006493318265
"68","beam","M1_b_M2_b","Polysemy",-0.625,1.40788595317336
"69","beam","M2_a_M1_a","Polysemy",0.444444444444444,1.42400062421959
"70","beam","M2_a_M1_b","Polysemy",0.363636363636364,1.56669890360128
"71","beam","M2_b_M1_a","Polysemy",0.555555555555556,1.50923085635624
"72","beam","M2_b_M1_b","Polysemy",-0.266666666666667,1.43759057685652
"73","block","M1_a_M2_a","Polysemy",-0.636363636363636,1.12006493318265
"74","block","M1_a_M2_b","Polysemy",-0.875,1.24642345475822
"75","block","M1_b_M2_a","Polysemy",-0.615384615384615,1.70970082853022
"76","block","M1_b_M2_b","Polysemy",0.333333333333333,1.58113883008419
"77","block","M2_a_M1_a","Polysemy",0.555555555555556,1.50923085635624
"78","block","M2_a_M1_b","Polysemy",0.363636363636364,1.36181696807811
"79","block","M2_b_M1_a","Polysemy",0.75,1.16496474502144
"80","block","M2_b_M1_b","Polysemy",-0.222222222222222,1.48136573621926
"81","blood","M1_a_M2_a","Polysemy",-1.16666666666667,1.11464085804543
"82","blood","M1_a_M2_b","Polysemy",-0.8,1.6431676725155
"83","blood","M1_b_M2_a","Polysemy",-0.5,1.30930734141595
"84","blood","M1_b_M2_b","Polysemy",-0.375,1.76776695296637
"85","blood","M2_a_M1_a","Polysemy",0.142857142857143,1.77281052085584
"86","blood","M2_a_M1_b","Polysemy",0.125,1.62788205960997
"87","blood","M2_b_M1_a","Polysemy",0.636363636363636,1.36181696807811
"88","blood","M2_b_M1_b","Polysemy",0.0909090909090909,1.300349603341
"89","board","M1_a_M2_a","Polysemy",-0.714285714285714,1.25356634105602
"90","board","M1_a_M2_b","Polysemy",0.222222222222222,1.48136573621926
"91","board","M1_b_M2_a","Polysemy",0.333333333333333,1.3228756555323
"92","board","M1_b_M2_b","Polysemy",-0.866666666666667,1.24594580635795
"93","board","M2_a_M1_a","Polysemy",0.142857142857143,2.03540097839643
"94","board","M2_a_M1_b","Polysemy",-0.0833333333333333,1.56427928995103
"95","board","M2_b_M1_a","Polysemy",-1,1.22474487139159
"96","board","M2_b_M1_b","Polysemy",0.9,1.3703203194063
"97","book","M1_a_M2_a","Polysemy",-1,1.30930734141595
"98","book","M1_a_M2_b","Polysemy",-0.857142857142857,0.899735410842437
"99","book","M1_b_M2_a","Polysemy",-0.222222222222222,1.71593835683117
"100","book","M1_b_M2_b","Polysemy",-1.08333333333333,1.08362466945083
"101","book","M2_a_M1_a","Polysemy",1.1,1.19721899973786
"102","book","M2_a_M1_b","Polysemy",0.4,1.26491106406735
"103","book","M2_b_M1_a","Polysemy",0.7,1.70293863659264
"104","book","M2_b_M1_b","Polysemy",1.25,0.866025403784439
"105","break","M1_a_M2_a","Polysemy",-1.44444444444444,1.0137937550497
"106","break","M1_a_M2_b","Polysemy",-1.17647058823529,0.727606875108999
"107","break","M1_b_M2_a","Polysemy",-0.285714285714286,1.88982236504614
"108","break","M1_b_M2_b","Polysemy",-0.142857142857143,1.4638501094228
"109","break","M2_a_M1_a","Polysemy",0.8,1.31656117720877
"110","break","M2_a_M1_b","Polysemy",0.333333333333333,1.50554530541816
"111","break","M2_b_M1_a","Polysemy",0.727272727272727,1.42062726222673
"112","break","M2_b_M1_b","Polysemy",0.272727272727273,1.27207775634268
"113","breakfast","M1_a_M2_a","Polysemy",0.3,1.63639169448448
"114","breakfast","M1_a_M2_b","Polysemy",-0.5,1.60356745147455
"115","breakfast","M1_b_M2_a","Polysemy",0.4,1.81659021245849
"116","breakfast","M1_b_M2_b","Polysemy",-1.625,0.517549169506766
"117","breakfast","M2_a_M1_a","Polysemy",-0.555555555555556,1.50923085635624
"118","breakfast","M2_a_M1_b","Polysemy",-0.222222222222222,1.71593835683117
"119","breakfast","M2_b_M1_a","Polysemy",0.133333333333333,1.4573295865416
"120","breakfast","M2_b_M1_b","Polysemy",0.714285714285714,1.38278266986823
"121","call","M1_a_M2_a","Polysemy",-1.25,0.5
"122","call","M1_a_M2_b","Polysemy",-1.6,0.547722557505166
"123","call","M1_b_M2_a","Polysemy",-1.92857142857143,0.267261241912424
"124","call","M1_b_M2_b","Polysemy",-1.9,0.316227766016838
"125","call","M2_a_M1_a","Polysemy",1.61538461538462,0.506369683541833
"126","call","M2_a_M1_b","Polysemy",1.4375,0.51234753829798
"127","call","M2_b_M1_a","Polysemy",1.125,1.35620268186054
"128","call","M2_b_M1_b","Polysemy",1.625,0.517549169506766
"129","cape","M1_a_M2_a","Homonymy",-1.71428571428571,0.468807230938495
"130","cape","M1_a_M2_b","Homonymy",-1,1.4142135623731
"131","cape","M1_b_M2_a","Homonymy",-1.69230769230769,0.480384461415261
"132","cape","M1_b_M2_b","Homonymy",-1.66666666666667,0.5
"133","cape","M2_a_M1_a","Homonymy",1.45454545454545,0.934198732993827
"134","cape","M2_a_M1_b","Homonymy",1,0.925820099772551
"135","cape","M2_b_M1_a","Homonymy",1.18181818181818,1.40129809949074
"136","cape","M2_b_M1_b","Homonymy",1.4,0.547722557505166
"137","case","M1_a_M2_a","Homonymy",0.5,1.56669890360128
"138","case","M1_a_M2_b","Homonymy",0.777777777777778,1.39443337755679
"139","case","M1_b_M2_a","Homonymy",0.6,1.42984070596848
"140","case","M1_b_M2_b","Homonymy",0.8,1.09544511501033
"141","case","M2_a_M1_a","Homonymy",-0.6,1.42984070596848
"142","case","M2_a_M1_b","Homonymy",-0.666666666666667,1.58113883008419
"143","case","M2_b_M1_a","Homonymy",-0.230769230769231,1.42325016270543
"144","case","M2_b_M1_b","Homonymy",0.6,1.42984070596848
"145","cast","M1_a_M2_a","Polysemy",-0.833333333333333,1.40345893053447
"146","cast","M1_a_M2_b","Polysemy",-1,1.4142135623731
"147","cast","M1_b_M2_a","Polysemy",-0.777777777777778,1.39443337755679
"148","cast","M1_b_M2_b","Polysemy",-0.833333333333333,0.983192080250175
"149","cast","M2_a_M1_a","Polysemy",0.5,1.35400640077266
"150","cast","M2_a_M1_b","Polysemy",0.444444444444444,1.42400062421959
"151","cast","M2_b_M1_a","Polysemy",0.692307692307692,1.43669849450139
"152","cast","M2_b_M1_b","Polysemy",-0.111111111111111,1.61589328580544
"153","cause","M1_a_M2_a","Polysemy",-0.5,1.35400640077266
"154","cause","M1_a_M2_b","Polysemy",0,1.69030850945703
"155","cause","M1_b_M2_a","Polysemy",-0.454545454545455,1.43969693780576
"156","cause","M1_b_M2_b","Polysemy",0,1.56347191994114
"157","cause","M2_a_M1_a","Polysemy",0,1.61245154965971
"158","cause","M2_a_M1_b","Polysemy",0,1.0690449676497
"159","cause","M2_b_M1_a","Polysemy",-0.444444444444444,1.42400062421959
"160","cause","M2_b_M1_b","Polysemy",-0.363636363636364,1.36181696807811
"161","cell","M1_a_M2_a","Polysemy",0,1.92724822331886
"162","cell","M1_a_M2_b","Polysemy",0.0909090909090909,1.300349603341
"163","cell","M1_b_M2_a","Polysemy",-1,1.04446593573419
"164","cell","M1_b_M2_b","Polysemy",-0.666666666666667,1.3228756555323
"165","cell","M2_a_M1_a","Polysemy",0.166666666666667,1.46680440124618
"166","cell","M2_a_M1_b","Polysemy",-0.6,1.42984070596848
"167","cell","M2_b_M1_a","Polysemy",-0.272727272727273,1.27207775634268
"168","cell","M2_b_M1_b","Polysemy",-0.2,1.6431676725155
"169","charm","M1_a_M2_a","Polysemy",-0.4,1.34164078649987
"170","charm","M1_a_M2_b","Polysemy",0.833333333333333,1.40345893053447
"171","charm","M1_b_M2_a","Polysemy",-0.5,1.22474487139159
"172","charm","M1_b_M2_b","Polysemy",-0.4,1.71269767715535
"173","charm","M2_a_M1_a","Polysemy",1.14285714285714,1.0690449676497
"174","charm","M2_a_M1_b","Polysemy",1,0.925820099772551
"175","charm","M2_b_M1_a","Polysemy",-0.846153846153846,1.14354374979373
"176","charm","M2_b_M1_b","Polysemy",-0.2,1.31656117720877
"177","check","M1_a_M2_a","Polysemy",-0.625,1.68501801601221
"178","check","M1_a_M2_b","Polysemy",0,1.63299316185545
"179","check","M1_b_M2_a","Polysemy",-1.25,1.5
"180","check","M1_b_M2_b","Polysemy",-0.571428571428571,1.28388147753274
"181","check","M2_a_M1_a","Polysemy",1.2,1.30384048104053
"182","check","M2_a_M1_b","Polysemy",0.75,1.29099444873581
"183","check","M2_b_M1_a","Polysemy",0.142857142857143,1.40642169281549
"184","check","M2_b_M1_b","Polysemy",0.1,1.44913767461894
"185","chicken","M1_a_M2_a","Polysemy",-1.15384615384615,0.800640769025436
"186","chicken","M1_a_M2_b","Polysemy",-1,1.73205080756888
"187","chicken","M1_b_M2_a","Polysemy",-1.16666666666667,1.33711584684304
"188","chicken","M1_b_M2_b","Polysemy",-1.25,0.5
"189","chicken","M2_a_M1_a","Polysemy",1,1
"190","chicken","M2_a_M1_b","Polysemy",1.18181818181818,1.40129809949074
"191","chicken","M2_b_M1_a","Polysemy",0.333333333333333,1.50554530541816
"192","chicken","M2_b_M1_b","Polysemy",1,1.15470053837925
"193","class","M1_a_M2_a","Polysemy",1.25,1.5
"194","class","M1_a_M2_b","Polysemy",0.666666666666667,1.36626010212795
"195","class","M1_b_M2_a","Polysemy",1.27272727272727,0.467099366496914
"196","class","M1_b_M2_b","Polysemy",0.181818181818182,1.60113596038449
"197","class","M2_a_M1_a","Polysemy",-1.3125,1.19547758936195
"198","class","M2_a_M1_b","Polysemy",-1.14285714285714,1.40642169281549
"199","class","M2_b_M1_a","Polysemy",-1.22222222222222,0.97182531580755
"200","class","M2_b_M1_b","Polysemy",-0.571428571428571,1.13389341902768
"201","clear","M1_a_M2_a","Polysemy",-1.28571428571429,1.11269728052837
"202","clear","M1_a_M2_b","Polysemy",-0.461538461538462,1.45002210416397
"203","clear","M1_b_M2_a","Polysemy",0.4,1.26491106406735
"204","clear","M1_b_M2_b","Polysemy",-1.41666666666667,0.514928650544437
"205","clear","M2_a_M1_a","Polysemy",-0.454545454545455,1.43969693780576
"206","clear","M2_a_M1_b","Polysemy",-0.25,1.38873014965883
"207","clear","M2_b_M1_a","Polysemy",0.5,1.58113883008419
"208","clear","M2_b_M1_b","Polysemy",0,1.63299316185545
"209","clip","M1_a_M2_a","Homonymy",1,1.34164078649987
"210","clip","M1_a_M2_b","Homonymy",0,1.76383420737639
"211","clip","M1_b_M2_a","Homonymy",0.181818181818182,1.60113596038449
"212","clip","M1_b_M2_b","Homonymy",-1.2,1.30384048104053
"213","clip","M2_a_M1_a","Homonymy",0,1.18321595661992
"214","clip","M2_a_M1_b","Homonymy",0.125,1.80772153354911
"215","clip","M2_b_M1_a","Homonymy",-0.4,1.50554530541816
"216","clip","M2_b_M1_b","Homonymy",0.666666666666667,1.30267789455786
"217","clog","M1_a_M2_a","Polysemy",1.57142857142857,0.534522483824849
"218","clog","M1_a_M2_b","Polysemy",2,0
"219","clog","M1_b_M2_a","Polysemy",1.36363636363636,1.20604537831105
"220","clog","M1_b_M2_b","Polysemy",1.07692307692308,1.25575597825496
"221","clog","M2_a_M1_a","Polysemy",-1.85714285714286,0.377964473009227
"222","clog","M2_a_M1_b","Polysemy",-1.71428571428571,0.825420305855557
"223","clog","M2_b_M1_a","Polysemy",-1.11111111111111,1.53659074288215
"224","clog","M2_b_M1_b","Polysemy",-1.84615384615385,0.375533808099405
"225","cold","M1_a_M2_a","Polysemy",-1.07692307692308,1.25575597825496
"226","cold","M1_a_M2_b","Polysemy",0.125,1.80772153354911
"227","cold","M1_b_M2_a","Polysemy",-1.5,0.547722557505166
"228","cold","M1_b_M2_b","Polysemy",-1.46153846153846,0.877058019307029
"229","cold","M2_a_M1_a","Polysemy",1,1.30930734141595
"230","cold","M2_a_M1_b","Polysemy",1.38461538461538,1.12089707663561
"231","cold","M2_b_M1_a","Polysemy",0.857142857142857,1.3451854182691
"232","cold","M2_b_M1_b","Polysemy",0.7,1.49443411809733
"233","column","M1_a_M2_a","Polysemy",0.8,1.31656117720877
"234","column","M1_a_M2_b","Polysemy",0.666666666666667,1.3228756555323
"235","column","M1_b_M2_a","Polysemy",0.153846153846154,1.5191090506255
"236","column","M1_b_M2_b","Polysemy",-0.111111111111111,1.36422546197874
"237","column","M2_a_M1_a","Polysemy",-1.6,0.547722557505166
"238","column","M2_a_M1_b","Polysemy",0,1.4142135623731
"239","column","M2_b_M1_a","Polysemy",-0.5,1.58113883008419
"240","column","M2_b_M1_b","Polysemy",-0.235294117647059,1.52189896858768
"241","company","M1_a_M2_a","Polysemy",0.1,1.66332999331662
"242","company","M1_a_M2_b","Polysemy",-1.125,0.991031208965115
"243","company","M1_b_M2_a","Polysemy",-1.14285714285714,1.4638501094228
"244","company","M1_b_M2_b","Polysemy",-0.818181818181818,1.4709304414677
"245","company","M2_a_M1_a","Polysemy",0.714285714285714,1.20438758319299
"246","company","M2_a_M1_b","Polysemy",0,1.33333333333333
"247","company","M2_b_M1_a","Polysemy",1.375,0.517549169506766
"248","company","M2_b_M1_b","Polysemy",0.5,1.58113883008419
"249","cone","M1_a_M2_a","Polysemy",-0.285714285714286,1.54065777303929
"250","cone","M1_a_M2_b","Polysemy",0.3,1.63639169448448
"251","cone","M1_b_M2_a","Polysemy",-0.5,1.35400640077266
"252","cone","M1_b_M2_b","Polysemy",0.375,1.18773493916542
"253","cone","M2_a_M1_a","Polysemy",0.384615384615385,1.38675049056307
"254","cone","M2_a_M1_b","Polysemy",0.142857142857143,1.4638501094228
"255","cone","M2_b_M1_a","Polysemy",0.5,1.6431676725155
"256","cone","M2_b_M1_b","Polysemy",-0.4,1.50554530541816
"257","contribution","M1_a_M2_a","Polysemy",-0.4,1.54919333848297
"258","contribution","M1_a_M2_b","Polysemy",-0.5,1.30930734141595
"259","contribution","M1_b_M2_a","Polysemy",-0.555555555555556,1.23603308118261
"260","contribution","M1_b_M2_b","Polysemy",-0.444444444444444,1.42400062421959
"261","contribution","M2_a_M1_a","Polysemy",1,1.22474487139159
"262","contribution","M2_a_M1_b","Polysemy",0.444444444444444,1.66666666666667
"263","contribution","M2_b_M1_a","Polysemy",0.166666666666667,1.50489397711365
"264","contribution","M2_b_M1_b","Polysemy",-0.2,1.6431676725155
"265","count","M1_a_M2_a","Homonymy",1.11111111111111,1.2313975269104
"266","count","M1_a_M2_b","Homonymy",1.09090909090909,1.37510330190466
"267","count","M1_b_M2_a","Homonymy",1.33333333333333,1.211060141639
"268","count","M1_b_M2_b","Homonymy",1,1.30930734141595
"269","count","M2_a_M1_a","Homonymy",-1.6,0.516397779494322
"270","count","M2_a_M1_b","Homonymy",-1.5,0.52704627669473
"271","count","M2_b_M1_a","Homonymy",-0.666666666666667,1.80277563773199
"272","count","M2_b_M1_b","Homonymy",-1.66666666666667,0.516397779494322
"273","course","M1_a_M2_a","Polysemy",-0.9,1.59513148186739
"274","course","M1_a_M2_b","Polysemy",-0.777777777777778,1.39443337755679
"275","course","M1_b_M2_a","Polysemy",-1.36363636363636,0.924416277737175
"276","course","M1_b_M2_b","Polysemy",-1.53846153846154,0.877058019307029
"277","course","M2_a_M1_a","Polysemy",1,0
"278","course","M2_a_M1_b","Polysemy",1.55555555555556,0.52704627669473
"279","course","M2_b_M1_a","Polysemy",1.16666666666667,1.33711584684304
"280","course","M2_b_M1_b","Polysemy",0.916666666666667,0.996204919895622
"281","cross","M1_a_M2_a","Polysemy",-1.6,0.966091783079296
"282","cross","M1_a_M2_b","Polysemy",-1.66666666666667,0.5
"283","cross","M1_b_M2_a","Polysemy",-1.30769230769231,1.31558702896054
"284","cross","M1_b_M2_b","Polysemy",-1.71428571428571,0.487950036474267
"285","cross","M2_a_M1_a","Polysemy",1.4,1.26491106406735
"286","cross","M2_a_M1_b","Polysemy",-0.25,1.54478595163331
"287","cross","M2_b_M1_a","Polysemy",1.77777777777778,0.440958551844098
"288","cross","M2_b_M1_b","Polysemy",0.75,1.48804761828569
"289","date","M1_a_M2_a","Polysemy",0.0909090909090909,1.51357493732854
"290","date","M1_a_M2_b","Polysemy",-0.785714285714286,1.57765997255777
"291","date","M1_b_M2_a","Polysemy",0.272727272727273,1.4893561757289
"292","date","M1_b_M2_b","Polysemy",-0.333333333333333,1.50554530541816
"293","date","M2_a_M1_a","Polysemy",-0.428571428571429,1.39727626201154
"294","date","M2_a_M1_b","Polysemy",-0.181818181818182,1.16774841624228
"295","date","M2_b_M1_a","Polysemy",0,1.09544511501033
"296","date","M2_b_M1_b","Polysemy",-0.166666666666667,1.80067327475704
"297","degree","M1_a_M2_a","Polysemy",-0.888888888888889,1.45296631451356
"298","degree","M1_a_M2_b","Polysemy",-1.4,0.547722557505166
"299","degree","M1_b_M2_a","Polysemy",-1.55555555555556,0.52704627669473
